DEPTH,BS,GR,DTCO,DTSM,MSFL,LLD,LLS,RHOB,SP,NPHI,DRHO
748.5888,8.5,109.6696,102.3958,234.8992,5.2747,3.7477,3.7892,2.5433,143.6875,0.3108,-0.0029
748.7412,8.5,107.4475,102.1896,238.9133,5.8918,3.9627,4.0073,2.5323,143.875,0.3032,-0.0074
748.8936,8.5,106.7462,102.1527,232.8253,5.5021,3.9829,4.0254,2.5352,143.8125,0.3199,-0.0129
749.046,8.5,101.9661,102.152,232.3414,5.6184,3.6731,3.7788,2.5584,143.875,0.3541,-0.0076
749.1984,8.5,105.9246,102.437,233.1642,4.1665,3.4485,3.5585,2.5675,144,0.344,-0.0071
749.3508,8.5,103.8782,102.0124,232.2816,4.3354,3.2997,3.4006,2.5605,143.9375,0.3195,-0.0028
749.5032,8.5,104.3031,101.9829,231.7922,4.4411,3.2539,3.3528,2.5534,143.9375,0.3261,-0.0037
749.6556,8.5,101.8076,101.9463,232.9199,4.9004,3.3837,3.4745,2.548,144,0.3476,0.0018
749.808,8.5,105.3353,101.9008,232.1889,5.1115,3.4505,3.5501,2.5399,144.25,0.3614,-0.0028
749.9604,8.5,109.1878,101.9529,227.4893,5.0141,3.5607,3.647,2.5413,143.625,0.3457,-0.0003
750.1128,8.5,111.4103,101.948,228.3532,5.2063,3.5245,3.6199,2.5397,143,0.3337,-0.004
750.2652,8.5,111.0219,102.0314,229.3042,5.1711,3.4678,3.567,2.5516,142.8125,0.3369,-0.0027
750.4176,8.5,109.6451,102.195,232.1611,4.8033,3.4332,3.5306,2.5568,142.75,0.3399,-0.0027
750.57,8.5,110.379,101.8412,232.3945,5.0563,3.3405,3.4264,2.5488,142.6875,0.3441,-0.0021
750.7224,8.5,112.1091,102.3069,233.2675,4.9837,3.265,3.3441,2.5342,142.8125,0.3848,-0.0041
750.8748,8.5,110.5153,103.1187,232.1957,4.7034,3.2622,3.348,2.5173,142.1875,0.3975,-0.0008
751.0272,8.5,109.658,103.4215,233.5835,4.6798,3.3061,3.3798,2.5195,143,0.3927,0.0015
751.1796,8.5,111.6314,103.8179,236.2454,4.9372,3.4969,3.547,2.5268,142.625,0.3744,0.0054
751.332,8.5,112.5156,103.96,235.0984,5.5824,3.6961,3.7004,2.5399,142.5625,0.3488,0.0091
751.4844,8.5,114.6583,104.0796,238.4604,5.4664,3.79,3.7837,2.5487,143,0.3539,0.0091
751.6368,8.5,114.409,104.0075,239.1463,5.0585,3.6736,3.7174,2.5606,143.0625,0.3253,0.0069
751.7892,8.5,114.4269,103.7828,239.2142,5.0899,3.503,3.5648,2.5617,142.8125,0.3317,0.0073
751.9416,8.5,113.9296,103.6041,238.3596,4.2394,3.4859,3.5415,2.5546,143,0.3318,0.0023
752.094,8.5,105.6791,103.5111,237.2487,4.7971,3.5586,3.5924,2.5396,143.1875,0.3399,-0.0009
752.2464,8.5,107.463,103.483,236.5434,5.6112,3.5651,3.5965,2.5402,143.3125,0.3452,0.001
752.3988,8.5,107.9482,103.4162,234.0361,5.1271,3.5863,3.6145,2.533,143.4375,0.3482,0.0003
752.5512,8.5,110.9942,103.0877,231.2735,4.6903,3.5528,3.614,2.5474,143.625,0.3372,0.0031
752.7036,8.5,114.3391,102.6863,231.2896,4.2139,3.4676,3.5352,2.549,143.375,0.3244,0.0065
752.856,8.5,115.6125,102.5391,227.6278,5.75,3.4312,3.4877,2.5535,143.3125,0.3214,0.0047
753.0084,8.5,119.1049,102.4098,231.5762,5.0983,3.4371,3.4991,2.5438,143.125,0.3264,0.0041
753.1608,8.5,114.6223,102.3025,228.7135,4.8678,3.4444,3.5119,2.5435,142.9375,0.341,0.0017
753.3132,8.5,111.4619,102.3064,229.5267,4.4831,3.4211,3.4842,2.5522,142.6875,0.3409,-0.0024
753.4656,8.5,111.0192,102.4947,230.6113,4.5874,3.3941,3.4474,2.5668,142.5,0.3421,-0.0015
753.618,8.5,114.0436,102.5812,230.8211,5.6224,3.3221,3.3747,2.5744,142.625,0.3518,0.0033
753.7704,8.5,114.2836,102.5503,231.4671,4.2139,3.2511,3.3091,2.5634,142.8125,0.3634,0.001
753.9228,8.5,117.711,102.6897,233.0463,4.4932,3.1526,3.2095,2.555,143,0.3547,-0.0016
754.0752,8.5,117.7923,103.0191,232.0645,4.2608,3.1905,3.2567,2.5499,143.125,0.367,-0.0011
754.2276,8.5,119.9101,103.463,231.5261,4.7093,3.3336,3.3984,2.5477,142.8125,0.3478,-0.0031
754.38,8.5,119.7395,103.7546,233.3036,5.8795,3.4438,3.5112,2.5354,143.1875,0.3714,-0.0071
754.5324,8.5,114.8467,103.8327,234.5644,4.8405,3.5259,3.6182,2.5325,143.5625,0.3397,-0.0105
754.6848,8.5,113.4861,103.7638,235.9208,5.0945,3.4752,3.5801,2.5324,143.375,0.3378,-0.0046
754.8372,8.5,111.1114,103.6592,234.0077,4.6354,3.384,3.4864,2.5469,143.5625,0.3331,-0.0014
754.9896,8.5,109.2586,103.5137,235.4186,4.9464,3.3306,3.436,2.5518,143.8125,0.3372,-0.0003
755.142,8.5,109.1927,103.411,242.1684,4.7672,3.2849,3.3799,2.5588,144.0625,0.3447,0.0038
755.2944,8.5,109.6792,102.6271,235.0854,4.2858,3.2563,3.3372,2.5482,144.375,0.3313,0.0068
755.4468,8.5,112.6014,102.5841,235.8801,4.4201,3.1472,3.2232,2.5292,144.375,0.3245,0.0001
755.5992,8.5,110.3981,102.9096,234.7591,4.3243,3.0719,3.1349,2.5116,144.5625,0.3444,-0.0033
755.7516,8.5,104.3688,102.7725,242.3114,4.2901,2.9773,3.0387,2.5024,144.375,0.3397,-0.0062
755.904,8.5,105.9648,103.2927,238.3528,4.1111,2.9167,2.9747,2.4945,144.1875,0.3546,-0.0144
